,carrera,curso,universidad,ciclo,texto_limpio,tokens
471,Ciencia de la Computación,analisis y diseno de algoritmos,Universidad Nacional Mayor de San Marcos,5,analisis diseno algoritmos,"['analisis', 'diseno', 'algoritmos']"
472,Ciencia de la Computación,base de datos,Universidad Nacional Mayor de San Marcos,5,base datos,"['base', 'datos']"
473,Ciencia de la Computación,ingenieria de software,Universidad Nacional Mayor de San Marcos,5,ingenieria software,"['ingenieria', 'software']"
474,Ciencia de la Computación,sistemas operativos,Universidad Nacional Mayor de San Marcos,5,sistemas operativos,"['sistemas', 'operativos']"
475,Ciencia de la Computación,programacion de computadoras,Universidad Nacional Mayor de San Marcos,5,programacion computadoras,"['programacion', 'computadoras']"
476,Ciencia de la Computación,investigacion operativa,Universidad Nacional Mayor de San Marcos,5,investigacion operativa,"['investigacion', 'operativa']"
477,Ciencia de la Computación,ingenieria de software,Universidad Nacional Mayor de San Marcos,6,ingenieria software,"['ingenieria', 'software']"
478,Ciencia de la Computación,redes y comunicaciones,Universidad Nacional Mayor de San Marcos,6,redes comunicaciones,"['redes', 'comunicaciones']"
479,Ciencia de la Computación,estructura de datos avanzado,Universidad Nacional Mayor de San Marcos,6,estructura datos avanzado,"['estructura', 'datos', 'avanzado']"
480,Ciencia de la Computación,topicos de sistemas operativos avanzados,Universidad Nacional Mayor de San Marcos,6,topicos sistemas operativos avanzados,"['topicos', 'sistemas', 'operativos', 'avanzados']"
481,Ciencia de la Computación,lenguajes y compiladores,Universidad Nacional Mayor de San Marcos,6,lenguajes compiladores,"['lenguajes', 'compiladores']"
482,Ciencia de la Computación,modelos y simulacion,Universidad Nacional Mayor de San Marcos,6,modelos simulacion,"['modelos', 'simulacion']"
483,Ciencia de la Computación,procesos estocasticos,Universidad Nacional Mayor de San Marcos,6,procesos estocasticos,"['procesos', 'estocasticos']"
484,Ciencia de la Computación,interaccion humano computador,Universidad Nacional Mayor de San Marcos,7,interaccion humano computador,"['interaccion', 'humano', 'computador']"
485,Ciencia de la Computación,lenguajes y compiladores,Universidad Nacional Mayor de San Marcos,7,lenguajes compiladores,"['lenguajes', 'compiladores']"
486,Ciencia de la Computación,computacion paralela y distribuida,Universidad Nacional Mayor de San Marcos,7,computacion paralela distribuida,"['computacion', 'paralela', 'distribuida']"
487,Ciencia de la Computación,computacion grafica,Universidad Nacional Mayor de San Marcos,7,computacion grafica,"['computacion', 'grafica']"
488,Ciencia de la Computación,heuristicas y meta heuristicas,Universidad Nacional Mayor de San Marcos,7,heuristicas meta heuristicas,"['heuristicas', 'meta', 'heuristicas']"
489,Ciencia de la Computación,investigacion e innovacion,Universidad Nacional Mayor de San Marcos,7,investigacion innovacion,"['investigacion', 'innovacion']"
490,Ciencia de la Computación,seguridad en computacion,Universidad Nacional Mayor de San Marcos,8,seguridad computacion,"['seguridad', 'computacion']"
491,Ciencia de la Computación,topicos en ciencia de datos,Universidad Nacional Mayor de San Marcos,8,topicos ciencia datos,"['topicos', 'ciencia', 'datos']"
492,Ciencia de la Computación,inteligencia artificial,Universidad Nacional Mayor de San Marcos,8,inteligencia artificial,"['inteligencia', 'artificial']"
493,Ciencia de la Computación,arte y tecnologia,Universidad Nacional Mayor de San Marcos,8,arte tecnologia,"['arte', 'tecnologia']"
494,Ciencia de la Computación,proyecto final de carrera,Universidad Nacional Mayor de San Marcos,8,proyecto final carrera,"['proyecto', 'final', 'carrera']"
495,Ciencia de la Computación,computacion verde,Universidad Nacional Mayor de San Marcos,8,computacion verde,"['computacion', 'verde']"
496,Ciencia de la Computación,topicos en inteligencia artificial,Universidad Nacional Mayor de San Marcos,9,topicos inteligencia artificial,"['topicos', 'inteligencia', 'artificial']"
497,Ciencia de la Computación,practica preprofesional,Universidad Nacional Mayor de San Marcos,9,practica preprofesional,"['practica', 'preprofesional']"
498,Ciencia de la Computación,topicos en computacion grafica,Universidad Nacional Mayor de San Marcos,9,topicos computacion grafica,"['topicos', 'computacion', 'grafica']"
499,Ciencia de la Computación,proyecto final de carrera,Universidad Nacional Mayor de San Marcos,9,proyecto final carrera,"['proyecto', 'final', 'carrera']"
500,Ciencia de la Computación,practica preprofesional,Universidad Nacional Mayor de San Marcos,10,practica preprofesional,"['practica', 'preprofesional']"
501,Ciencia de la Computación,tecnologia basada en internet,Universidad Nacional Mayor de San Marcos,10,tecnologia basada internet,"['tecnologia', 'basada', 'internet']"
502,Ciencia de la Computación,bioinformatica y bioestadistica,Universidad Nacional Mayor de San Marcos,10,bioinformatica bioestadistica,"['bioinformatica', 'bioestadistica']"
503,Ciencia de la Computación,proyecto final de carrera,Universidad Nacional Mayor de San Marcos,10,proyecto final carrera,"['proyecto', 'final', 'carrera']"
504,Ingeniería de Sistemas,redaccion y tecnicas de comunicacion efectiva,Universidad Nacional Mayor de San Marcos,1,redaccion tecnicas comunicacion efectiva,"['redaccion', 'tecnicas', 'comunicacion', 'efectiva']"
505,Ingeniería de Sistemas,metodos de estudio universitario,Universidad Nacional Mayor de San Marcos,1,metodos estudio universitario,"['metodos', 'estudio', 'universitario']"
506,Ingeniería de Sistemas,desarrollo personal y liderazgo,Universidad Nacional Mayor de San Marcos,1,desarrollo personal liderazgo,"['desarrollo', 'personal', 'liderazgo']"
507,Ingeniería de Sistemas,calculo,Universidad Nacional Mayor de San Marcos,1,calculo,['calculo']
508,Ingeniería de Sistemas,biologia para ciencias e ingenieria,Universidad Nacional Mayor de San Marcos,1,biologia ciencias ingenieria,"['biologia', 'ciencias', 'ingenieria']"
509,Ingeniería de Sistemas,algebra y geometria analitica,Universidad Nacional Mayor de San Marcos,1,algebra geometria analitica,"['algebra', 'geometria', 'analitica']"
510,Ingeniería de Sistemas,medio ambiente y desarrollo sostenible,Universidad Nacional Mayor de San Marcos,1,medio ambiente desarrollo sostenible,"['medio', 'ambiente', 'desarrollo', 'sostenible']"
511,Ingeniería de Sistemas,programacion y computacion,Universidad Nacional Mayor de San Marcos,1,programacion computacion,"['programacion', 'computacion']"
512,Ingeniería de Sistemas,redaccion y tecnicas de comunicacion efectiva,Universidad Nacional Mayor de San Marcos,2,redaccion tecnicas comunicacion efectiva,"['redaccion', 'tecnicas', 'comunicacion', 'efectiva']"
513,Ingeniería de Sistemas,investigacion formativa,Universidad Nacional Mayor de San Marcos,2,investigacion formativa,"['investigacion', 'formativa']"
514,Ingeniería de Sistemas,realidad nacional y mundial,Universidad Nacional Mayor de San Marcos,2,realidad nacional mundial,"['realidad', 'nacional', 'mundial']"
515,Ingeniería de Sistemas,calculo,Universidad Nacional Mayor de San Marcos,2,calculo,['calculo']
516,Ingeniería de Sistemas,fisica,Universidad Nacional Mayor de San Marcos,2,fisica,['fisica']
517,Ingeniería de Sistemas,quimica general,Universidad Nacional Mayor de San Marcos,2,quimica general,"['quimica', 'general']"
518,Ingeniería de Sistemas,introduccion a las ciencias e ingenieria,Universidad Nacional Mayor de San Marcos,2,introduccion ciencias ingenieria,"['introduccion', 'ciencias', 'ingenieria']"
519,Ingeniería de Sistemas,emprendimiento e innovacion,Universidad Nacional Mayor de San Marcos,2,emprendimiento innovacion,"['emprendimiento', 'innovacion']"
520,Ingeniería de Sistemas,introduccion a la computacion,Universidad Nacional Mayor de San Marcos,3,introduccion computacion,"['introduccion', 'computacion']"
521,Ingeniería de Sistemas,series y ecuaciones diferenciales,Universidad Nacional Mayor de San Marcos,3,series ecuaciones diferenciales,"['series', 'ecuaciones', 'diferenciales']"
522,Ingeniería de Sistemas,electromagnetismo y optica,Universidad Nacional Mayor de San Marcos,3,electromagnetismo optica,"['electromagnetismo', 'optica']"
523,Ingeniería de Sistemas,programacion de computadoras,Universidad Nacional Mayor de San Marcos,3,programacion computadoras,"['programacion', 'computadoras']"
524,Ingeniería de Sistemas,fundamentos de sistemas de informacion,Universidad Nacional Mayor de San Marcos,3,fundamentos sistemas informacion,"['fundamentos', 'sistemas', 'informacion']"
525,Ingeniería de Sistemas,matematicas discretas,Universidad Nacional Mayor de San Marcos,3,matematicas discretas,"['matematicas', 'discretas']"
526,Ingeniería de Sistemas,organizacion empresarial,Universidad Nacional Mayor de San Marcos,4,organizacion empresarial,"['organizacion', 'empresarial']"
527,Ingeniería de Sistemas,programacion de computadoras,Universidad Nacional Mayor de San Marcos,4,programacion computadoras,"['programacion', 'computadoras']"
528,Ingeniería de Sistemas,metodos numericos,Universidad Nacional Mayor de San Marcos,4,metodos numericos,"['metodos', 'numericos']"
529,Ingeniería de Sistemas,arquitectura de computadoras,Universidad Nacional Mayor de San Marcos,4,arquitectura computadoras,"['arquitectura', 'computadoras']"
530,Ingeniería de Sistemas,estadistica,Universidad Nacional Mayor de San Marcos,4,estadistica,['estadistica']
531,Ingeniería de Sistemas,ingenieria economica,Universidad Nacional Mayor de San Marcos,4,ingenieria economica,"['ingenieria', 'economica']"
532,Ingeniería de Sistemas,analisis de sistemas de informacion,Universidad Nacional Mayor de San Marcos,5,analisis sistemas informacion,"['analisis', 'sistemas', 'informacion']"
533,Ingeniería de Sistemas,diseno de base de datos,Universidad Nacional Mayor de San Marcos,5,diseno base datos,"['diseno', 'base', 'datos']"
534,Ingeniería de Sistemas,estructura de datos,Universidad Nacional Mayor de San Marcos,5,estructura datos,"['estructura', 'datos']"
535,Ingeniería de Sistemas,estadistica,Universidad Nacional Mayor de San Marcos,5,estadistica,['estadistica']
536,Ingeniería de Sistemas,sistemas operativos,Universidad Nacional Mayor de San Marcos,5,sistemas operativos,"['sistemas', 'operativos']"
537,Ingeniería de Sistemas,investigacion operativa,Universidad Nacional Mayor de San Marcos,5,investigacion operativa,"['investigacion', 'operativa']"
538,Ingeniería de Sistemas,diseno de sistemas de informacion,Universidad Nacional Mayor de San Marcos,6,diseno sistemas informacion,"['diseno', 'sistemas', 'informacion']"
539,Ingeniería de Sistemas,administracion de base de datos,Universidad Nacional Mayor de San Marcos,6,administracion base datos,"['administracion', 'base', 'datos']"
540,Ingeniería de Sistemas,redes y comunicaciones,Universidad Nacional Mayor de San Marcos,6,redes comunicaciones,"['redes', 'comunicaciones']"
541,Ingeniería de Sistemas,diseno de interfases de usuario,Universidad Nacional Mayor de San Marcos,6,diseno interfases usuario,"['diseno', 'interfases', 'usuario']"
542,Ingeniería de Sistemas,modelos y simulacion,Universidad Nacional Mayor de San Marcos,6,modelos simulacion,"['modelos', 'simulacion']"
543,Ingeniería de Sistemas,finanzas para la gestion,Universidad Nacional Mayor de San Marcos,6,finanzas gestion,"['finanzas', 'gestion']"
544,Ingeniería de Sistemas,interaccion humano computador,Universidad Nacional Mayor de San Marcos,7,interaccion humano computador,"['interaccion', 'humano', 'computador']"
545,Ingeniería de Sistemas,desarrollo de aplicaciones web,Universidad Nacional Mayor de San Marcos,7,desarrollo aplicaciones web,"['desarrollo', 'aplicaciones', 'web']"
546,Ingeniería de Sistemas,inteligencia artificial,Universidad Nacional Mayor de San Marcos,7,inteligencia artificial,"['inteligencia', 'artificial']"
547,Ingeniería de Sistemas,inteligencia de negocios,Universidad Nacional Mayor de San Marcos,7,inteligencia negocios,"['inteligencia', 'negocios']"
548,Ingeniería de Sistemas,gestion de datos masivos,Universidad Nacional Mayor de San Marcos,7,gestion datos masivos,"['gestion', 'datos', 'masivos']"
549,Ingeniería de Sistemas,internet de las cosas,Universidad Nacional Mayor de San Marcos,7,internet cosas,"['internet', 'cosas']"
550,Ingeniería de Sistemas,computacion visual,Universidad Nacional Mayor de San Marcos,8,computacion visual,"['computacion', 'visual']"
551,Ingeniería de Sistemas,desarrollo de aplicaciones moviles,Universidad Nacional Mayor de San Marcos,8,desarrollo aplicaciones moviles,"['desarrollo', 'aplicaciones', 'moviles']"
552,Ingeniería de Sistemas,sistemas distribuidos,Universidad Nacional Mayor de San Marcos,8,sistemas distribuidos,"['sistemas', 'distribuidos']"
553,Ingeniería de Sistemas,sistemas inteligentes,Universidad Nacional Mayor de San Marcos,8,sistemas inteligentes,"['sistemas', 'inteligentes']"
554,Ingeniería de Sistemas,gestion de proyectos de ti,Universidad Nacional Mayor de San Marcos,8,gestion proyectos,"['gestion', 'proyectos']"
555,Ingeniería de Sistemas,metodologia de la investigacion,Universidad Nacional Mayor de San Marcos,8,metodologia investigacion,"['metodologia', 'investigacion']"
556,Ingeniería de Sistemas,arquitectura empresarial,Universidad Nacional Mayor de San Marcos,9,arquitectura empresarial,"['arquitectura', 'empresarial']"
557,Ingeniería de Sistemas,gestion de procesos de negocio,Universidad Nacional Mayor de San Marcos,9,gestion procesos negocio,"['gestion', 'procesos', 'negocio']"
558,Ingeniería de Sistemas,mineria de datos,Universidad Nacional Mayor de San Marcos,9,mineria datos,"['mineria', 'datos']"
559,Ingeniería de Sistemas,auditoria de sistemas,Universidad Nacional Mayor de San Marcos,9,auditoria sistemas,"['auditoria', 'sistemas']"
560,Ingeniería de Sistemas,seguridad de la informacion,Universidad Nacional Mayor de San Marcos,9,seguridad informacion,"['seguridad', 'informacion']"
561,Ingeniería de Sistemas,proyecto de tesis,Universidad Nacional Mayor de San Marcos,9,proyecto tesis,"['proyecto', 'tesis']"
562,Ingeniería de Sistemas,gestion de tecnologias de informacion,Universidad Nacional Mayor de San Marcos,10,gestion tecnologias informacion,"['gestion', 'tecnologias', 'informacion']"
563,Ingeniería de Sistemas,arquitectura de servicios,Universidad Nacional Mayor de San Marcos,10,arquitectura servicios,"['arquitectura', 'servicios']"
564,Ingeniería de Sistemas,tendencias en sistemas de informacion,Universidad Nacional Mayor de San Marcos,10,tendencias sistemas informacion,"['tendencias', 'sistemas', 'informacion']"
565,Ingeniería de Sistemas,proyecto de fin de carrera,Universidad Nacional Mayor de San Marcos,10,proyecto fin carrera,"['proyecto', 'fin', 'carrera']"
566,Ingeniería de Sistemas,etica profesional y emprendimiento,Universidad Nacional Mayor de San Marcos,10,etica profesional emprendimiento,"['etica', 'profesional', 'emprendimiento']"
567,Ingeniería de Sistemas,proyecto de tesis,Universidad Nacional Mayor de San Marcos,10,proyecto tesis,"['proyecto', 'tesis']"
568,Ingeniería de Software,redaccion y tecnicas de comunicacion efectiva,Universidad Nacional Mayor de San Marcos,1,redaccion tecnicas comunicacion efectiva,"['redaccion', 'tecnicas', 'comunicacion', 'efectiva']"
569,Ingeniería de Software,metodos de estudios universitarios,Universidad Nacional Mayor de San Marcos,1,metodos estudios universitarios,"['metodos', 'estudios', 'universitarios']"
570,Ingeniería de Software,desarrollo personal y liderazgo,Universidad Nacional Mayor de San Marcos,1,desarrollo personal liderazgo,"['desarrollo', 'personal', 'liderazgo']"
571,Ingeniería de Software,calculo,Universidad Nacional Mayor de San Marcos,1,calculo,['calculo']
572,Ingeniería de Software,biologia para ciencias e ingenieria,Universidad Nacional Mayor de San Marcos,1,biologia ciencias ingenieria,"['biologia', 'ciencias', 'ingenieria']"
573,Ingeniería de Software,algebra y geometria analitica,Universidad Nacional Mayor de San Marcos,1,algebra geometria analitica,"['algebra', 'geometria', 'analitica']"
574,Ingeniería de Software,medio ambiente y desarrollo sostenible,Universidad Nacional Mayor de San Marcos,1,medio ambiente desarrollo sostenible,"['medio', 'ambiente', 'desarrollo', 'sostenible']"
575,Ingeniería de Software,programacion y computacion,Universidad Nacional Mayor de San Marcos,1,programacion computacion,"['programacion', 'computacion']"
576,Ingeniería de Software,emprendimiento e innovacion,Universidad Nacional Mayor de San Marcos,1,emprendimiento innovacion,"['emprendimiento', 'innovacion']"
577,Ingeniería de Software,fundamentos de riesgos de desastres y cambio climatico,Universidad Nacional Mayor de San Marcos,1,fundamentos riesgos desastres cambio climatico,"['fundamentos', 'riesgos', 'desastres', 'cambio', 'climatico']"
578,Ingeniería de Software,taller de musica,Universidad Nacional Mayor de San Marcos,1,taller musica,"['taller', 'musica']"
579,Ingeniería de Software,taller de danza,Universidad Nacional Mayor de San Marcos,1,taller danza,"['taller', 'danza']"
580,Ingeniería de Software,ingles basico,Universidad Nacional Mayor de San Marcos,1,ingles basico,"['ingles', 'basico']"
581,Ingeniería de Software,seguridad e higiene ocupacional,Universidad Nacional Mayor de San Marcos,1,seguridad higiene ocupacional,"['seguridad', 'higiene', 'ocupacional']"
582,Ingeniería de Software,redaccion y tecnicas de comunicacion efectiva,Universidad Nacional Mayor de San Marcos,2,redaccion tecnicas comunicacion efectiva,"['redaccion', 'tecnicas', 'comunicacion', 'efectiva']"
583,Ingeniería de Software,investigacion formativa,Universidad Nacional Mayor de San Marcos,2,investigacion formativa,"['investigacion', 'formativa']"
584,Ingeniería de Software,realidad nacional y mundial,Universidad Nacional Mayor de San Marcos,2,realidad nacional mundial,"['realidad', 'nacional', 'mundial']"
585,Ingeniería de Software,calculo,Universidad Nacional Mayor de San Marcos,2,calculo,['calculo']
586,Ingeniería de Software,fisica,Universidad Nacional Mayor de San Marcos,2,fisica,['fisica']
587,Ingeniería de Software,quimica general,Universidad Nacional Mayor de San Marcos,2,quimica general,"['quimica', 'general']"
588,Ingeniería de Software,introduccion a las ciencias e ingenieria,Universidad Nacional Mayor de San Marcos,2,introduccion ciencias ingenieria,"['introduccion', 'ciencias', 'ingenieria']"
589,Ingeniería de Software,algoritmica,Universidad Nacional Mayor de San Marcos,3,algoritmica,['algoritmica']
590,Ingeniería de Software,estadistica y probabilidades,Universidad Nacional Mayor de San Marcos,3,estadistica probabilidades,"['estadistica', 'probabilidades']"
591,Ingeniería de Software,fisica electronica,Universidad Nacional Mayor de San Marcos,3,fisica electronica,"['fisica', 'electronica']"
592,Ingeniería de Software,ingenieria economica,Universidad Nacional Mayor de San Marcos,3,ingenieria economica,"['ingenieria', 'economica']"
593,Ingeniería de Software,introduccion al desarrollo de software,Universidad Nacional Mayor de San Marcos,3,introduccion desarrollo software,"['introduccion', 'desarrollo', 'software']"
594,Ingeniería de Software,matematica basica,Universidad Nacional Mayor de San Marcos,3,matematica basica,"['matematica', 'basica']"
595,Ingeniería de Software,algoritmica,Universidad Nacional Mayor de San Marcos,4,algoritmica,['algoritmica']
596,Ingeniería de Software,contabilidad para la gestion,Universidad Nacional Mayor de San Marcos,4,contabilidad gestion,"['contabilidad', 'gestion']"
597,Ingeniería de Software,organizacion y administracion,Universidad Nacional Mayor de San Marcos,4,organizacion administracion,"['organizacion', 'administracion']"
598,Ingeniería de Software,matematica discreta,Universidad Nacional Mayor de San Marcos,4,matematica discreta,"['matematica', 'discreta']"
599,Ingeniería de Software,estructura de datos,Universidad Nacional Mayor de San Marcos,4,estructura datos,"['estructura', 'datos']"
600,Ingeniería de Software,procesos de software,Universidad Nacional Mayor de San Marcos,4,procesos software,"['procesos', 'software']"
601,Ingeniería de Software,sistemas digitales,Universidad Nacional Mayor de San Marcos,4,sistemas digitales,"['sistemas', 'digitales']"
602,Ingeniería de Software,analisis y diseno de algoritmos,Universidad Nacional Mayor de San Marcos,5,analisis diseno algoritmos,"['analisis', 'diseno', 'algoritmos']"
603,Ingeniería de Software,arquitectura de computadoras,Universidad Nacional Mayor de San Marcos,5,arquitectura computadoras,"['arquitectura', 'computadoras']"
604,Ingeniería de Software,base de datos,Universidad Nacional Mayor de San Marcos,5,base datos,"['base', 'datos']"
605,Ingeniería de Software,computacion visual,Universidad Nacional Mayor de San Marcos,5,computacion visual,"['computacion', 'visual']"
606,Ingeniería de Software,economia para la gestion,Universidad Nacional Mayor de San Marcos,5,economia gestion,"['economia', 'gestion']"
607,Ingeniería de Software,ingenieria de requisitos,Universidad Nacional Mayor de San Marcos,5,ingenieria requisitos,"['ingenieria', 'requisitos']"
608,Ingeniería de Software,lenguajes y compiladores,Universidad Nacional Mayor de San Marcos,5,lenguajes compiladores,"['lenguajes', 'compiladores']"
609,Ingeniería de Software,base de datos,Universidad Nacional Mayor de San Marcos,6,base datos,"['base', 'datos']"
610,Ingeniería de Software,calidad de software,Universidad Nacional Mayor de San Marcos,6,calidad software,"['calidad', 'software']"
611,Ingeniería de Software,diseno de software,Universidad Nacional Mayor de San Marcos,6,diseno software,"['diseno', 'software']"
612,Ingeniería de Software,etica profesional y legislacion informatica,Universidad Nacional Mayor de San Marcos,6,etica profesional legislacion informatica,"['etica', 'profesional', 'legislacion', 'informatica']"
613,Ingeniería de Software,gestion de proyecto de software,Universidad Nacional Mayor de San Marcos,6,gestion proyecto software,"['gestion', 'proyecto', 'software']"
614,Ingeniería de Software,interaccion hombre computador,Universidad Nacional Mayor de San Marcos,6,interaccion hombre computador,"['interaccion', 'hombre', 'computador']"
615,Ingeniería de Software,sistemas operativos,Universidad Nacional Mayor de San Marcos,6,sistemas operativos,"['sistemas', 'operativos']"
616,Ingeniería de Software,arquitectura de software,Universidad Nacional Mayor de San Marcos,7,arquitectura software,"['arquitectura', 'software']"
617,Ingeniería de Software,experiencia de usuario y usabilidad,Universidad Nacional Mayor de San Marcos,7,experiencia usuario usabilidad,"['experiencia', 'usuario', 'usabilidad']"
618,Ingeniería de Software,gestion de la configuracion y mantenimiento del software,Universidad Nacional Mayor de San Marcos,7,gestion configuracion mantenimiento software,"['gestion', 'configuracion', 'mantenimiento', 'software']"
619,Ingeniería de Software,formacion de empresas de software,Universidad Nacional Mayor de San Marcos,7,formacion empresas software,"['formacion', 'empresas', 'software']"
620,Ingeniería de Software,inteligencia artificial,Universidad Nacional Mayor de San Marcos,7,inteligencia artificial,"['inteligencia', 'artificial']"
621,Ingeniería de Software,pruebas de software,Universidad Nacional Mayor de San Marcos,7,pruebas software,"['pruebas', 'software']"
622,Ingeniería de Software,redes y transmision de datos,Universidad Nacional Mayor de San Marcos,7,redes transmision datos,"['redes', 'transmision', 'datos']"
623,Ingeniería de Software,automatizacion y control de software,Universidad Nacional Mayor de San Marcos,8,automatizacion control software,"['automatizacion', 'control', 'software']"
624,Ingeniería de Software,inteligencia de negocios,Universidad Nacional Mayor de San Marcos,8,inteligencia negocios,"['inteligencia', 'negocios']"
625,Ingeniería de Software,metodologia de la investigacion,Universidad Nacional Mayor de San Marcos,8,metodologia investigacion,"['metodologia', 'investigacion']"
626,Ingeniería de Software,mineria de datos,Universidad Nacional Mayor de San Marcos,8,mineria datos,"['mineria', 'datos']"
627,Ingeniería de Software,programacion concurrente y paralela,Universidad Nacional Mayor de San Marcos,8,programacion concurrente paralela,"['programacion', 'concurrente', 'paralela']"
628,Ingeniería de Software,taller de construccion de software web,Universidad Nacional Mayor de San Marcos,8,taller construccion software web,"['taller', 'construccion', 'software', 'web']"
629,Ingeniería de Software,aseguramiento de la calidad del software,Universidad Nacional Mayor de San Marcos,8,aseguramiento calidad software,"['aseguramiento', 'calidad', 'software']"
630,Ingeniería de Software,desarrollo de tesis,Universidad Nacional Mayor de San Marcos,9,desarrollo tesis,"['desarrollo', 'tesis']"
631,Ingeniería de Software,gestion de riesgo del software,Universidad Nacional Mayor de San Marcos,9,gestion riesgo software,"['gestion', 'riesgo', 'software']"
632,Ingeniería de Software,gerencia de tecnologia de la informacion,Universidad Nacional Mayor de San Marcos,9,gerencia tecnologia informacion,"['gerencia', 'tecnologia', 'informacion']"
633,Ingeniería de Software,seguridad del software,Universidad Nacional Mayor de San Marcos,9,seguridad software,"['seguridad', 'software']"
634,Ingeniería de Software,internet de las cosas,Universidad Nacional Mayor de San Marcos,9,internet cosas,"['internet', 'cosas']"
635,Ingeniería de Software,taller de construccion de software movil,Universidad Nacional Mayor de San Marcos,9,taller construccion software movil,"['taller', 'construccion', 'software', 'movil']"
636,Ingeniería de Software,software inteligente,Universidad Nacional Mayor de San Marcos,9,software inteligente,"['software', 'inteligente']"
637,Ingeniería de Software,analitica de datos,Universidad Nacional Mayor de San Marcos,10,analitica datos,"['analitica', 'datos']"
638,Ingeniería de Software,desarrollo de tesis,Universidad Nacional Mayor de San Marcos,10,desarrollo tesis,"['desarrollo', 'tesis']"
639,Ingeniería de Software,practica pre profesional,Universidad Nacional Mayor de San Marcos,10,practica pre profesional,"['practica', 'pre', 'profesional']"
640,Ingeniería de Software,taller de aplicaciones sociales,Universidad Nacional Mayor de San Marcos,10,taller aplicaciones sociales,"['taller', 'aplicaciones', 'sociales']"
641,Ingeniería de Software,innovacion tecnologia y emprendimiento,Universidad Nacional Mayor de San Marcos,10,innovacion tecnologia emprendimiento,"['innovacion', 'tecnologia', 'emprendimiento']"
642,Ingeniería de Software,tendencias en ingenieria de software,Universidad Nacional Mayor de San Marcos,10,tendencias ingenieria software,"['tendencias', 'ingenieria', 'software']"
643,Ingeniería Informática,algebra matricial y geometria analitica,Pontificia Universidad Catolica del Peru (PUCP),1,algebra matricial geometria analitica,"['algebra', 'matricial', 'geometria', 'analitica']"
644,Ingeniería Informática,comunicacion academica,Pontificia Universidad Catolica del Peru (PUCP),1,comunicacion academica,"['comunicacion', 'academica']"
645,Ingeniería Informática,fundamentos de calculo,Pontificia Universidad Catolica del Peru (PUCP),1,fundamentos calculo,"['fundamentos', 'calculo']"
646,Ingeniería Informática,fundamentos de fisica,Pontificia Universidad Catolica del Peru (PUCP),1,fundamentos fisica,"['fundamentos', 'fisica']"
647,Ingeniería Informática,quimica,Pontificia Universidad Catolica del Peru (PUCP),1,quimica,['quimica']
648,Ingeniería Informática,laboratorio de quimica,Pontificia Universidad Catolica del Peru (PUCP),1,laboratorio quimica,"['laboratorio', 'quimica']"
649,Ingeniería Informática,calculo diferencial,Pontificia Universidad Catolica del Peru (PUCP),2,calculo diferencial,"['calculo', 'diferencial']"
650,Ingeniería Informática,ciencia y filosofia,Pontificia Universidad Catolica del Peru (PUCP),2,ciencia filosofia,"['ciencia', 'filosofia']"
651,Ingeniería Informática,dibujo en ingenieria,Pontificia Universidad Catolica del Peru (PUCP),2,dibujo ingenieria,"['dibujo', 'ingenieria']"
652,Ingeniería Informática,fisica,Pontificia Universidad Catolica del Peru (PUCP),2,fisica,['fisica']
653,Ingeniería Informática,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),2,laboratorio fisica,"['laboratorio', 'fisica']"
654,Ingeniería Informática,trabajo academico,Pontificia Universidad Catolica del Peru (PUCP),2,trabajo academico,"['trabajo', 'academico']"
655,Ingeniería Informática,idioma extranjero nivel basico de ingles,Pontificia Universidad Catolica del Peru (PUCP),2,idioma extranjero nivel basico ingles,"['idioma', 'extranjero', 'nivel', 'basico', 'ingles']"
656,Ingeniería Informática,electivos de humanidades,Pontificia Universidad Catolica del Peru (PUCP),2,electivos humanidades,"['electivos', 'humanidades']"
657,Ingeniería Informática,calculo integral,Pontificia Universidad Catolica del Peru (PUCP),3,calculo integral,"['calculo', 'integral']"
658,Ingeniería Informática,calculo en varias variables,Pontificia Universidad Catolica del Peru (PUCP),3,calculo varias variables,"['calculo', 'varias', 'variables']"
659,Ingeniería Informática,estructuras discretas,Pontificia Universidad Catolica del Peru (PUCP),3,estructuras discretas,"['estructuras', 'discretas']"
660,Ingeniería Informática,fisica,Pontificia Universidad Catolica del Peru (PUCP),3,fisica,['fisica']
661,Ingeniería Informática,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),3,laboratorio fisica,"['laboratorio', 'fisica']"
662,Ingeniería Informática,fundamentos de programacion,Pontificia Universidad Catolica del Peru (PUCP),3,fundamentos programacion,"['fundamentos', 'programacion']"
663,Ingeniería Informática,calculo aplicado,Pontificia Universidad Catolica del Peru (PUCP),4,calculo aplicado,"['calculo', 'aplicado']"
664,Ingeniería Informática,fisica,Pontificia Universidad Catolica del Peru (PUCP),4,fisica,['fisica']
665,Ingeniería Informática,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),4,laboratorio fisica,"['laboratorio', 'fisica']"
666,Ingeniería Informática,tecnicas de programacion,Pontificia Universidad Catolica del Peru (PUCP),4,tecnicas programacion,"['tecnicas', 'programacion']"
667,Ingeniería Informática,electivos de humanidades,Pontificia Universidad Catolica del Peru (PUCP),4,electivos humanidades,"['electivos', 'humanidades']"
